model_type,pred_type,filename,n_estimators,learning_rate,max_depth,features,time_taken,accuracy,precision,recall,f1,auc,sensitivity,specificity
gbm,MORTALITY,ModelResults/gbm_MORTALITY_suctaa.txt,10,0.01,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",7.0836,0.8968,0.0,0.0,0.0,0.5648,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_llylik.txt,10,0.01,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",8.8351,0.8968,0.0,0.0,0.0,0.6794,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_alnvyk.txt,10,0.01,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.7544,0.8968,0.0,0.0,0.0,0.7242,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_tddlex.txt,10,0.01,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",16.5197,0.8968,0.0,0.0,0.0,0.722,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_ihhrsi.txt,10,0.02,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",7.215,0.8968,0.0,0.0,0.0,0.5648,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_pbmvqm.txt,10,0.02,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",8.712,0.8968,0.0,0.0,0.0,0.6866,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_hskzpj.txt,10,0.02,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.8036,0.8968,0.0,0.0,0.0,0.7297,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_erhkui.txt,10,0.02,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",16.5837,0.8968,0.0,0.0,0.0,0.728,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_mqmowg.txt,10,0.1,1,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",7.6515,0.8968,0.0,0.0,0.0,0.641,0.0,1.0
gbm,MORTALITY,ModelResults/gbm_MORTALITY_jcuiur.txt,10,0.1,3,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",8.9213,0.9015,0.8332,0.0578,0.1077,0.7327,0.0578,0.9986
gbm,MORTALITY,ModelResults/gbm_MORTALITY_lyuuhp.txt,10,0.1,5,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",10.9146,0.9021,0.814,0.0676,0.1247,0.7446,0.0676,0.9981
gbm,MORTALITY,ModelResults/gbm_MORTALITY_abkkeu.txt,10,0.1,8,"['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",16.6713,0.9025,0.7398,0.085,0.1524,0.7429,0.085,0.9965
