model_type,pred_type,filename,model_params,features,accuracy,precision,recall,f1,auc,sensitivity,specificity
lr,AMA,ModelResults/lr_AMA_ndvhey.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender']",0.9935,0.0,0.0,0.0,0.8751,0.0,1.0
lr,CS,ModelResults/lr_CS_yqpass.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender']",0.8872,0.15,0.0002,0.0004,0.7087,0.0002,1.0
lr,MORTALITY,ModelResults/lr_MORTALITY_yoqbss.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender']",0.8958,0.0,0.0,0.0,0.5964,0.0,1.0
lr,AMA,ModelResults/lr_AMA_onmglk.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'race']",0.9935,0.0,0.0,0.0,0.8751,0.0,1.0
lr,CS,ModelResults/lr_CS_zgkenx.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'race']",0.8872,0.4,0.0004,0.0009,0.708,0.0004,1.0
lr,MORTALITY,ModelResults/lr_MORTALITY_ybfnao.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'race']",0.8958,0.0,0.0,0.0,0.6093,0.0,1.0
lr,AMA,ModelResults/lr_AMA_tsuplp.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'noncompliant']",0.9935,0.0,0.0,0.0,0.8613,0.0,1.0
lr,CS,ModelResults/lr_CS_suntth.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'noncompliant']",0.887,0.4952,0.0416,0.0765,0.7058,0.0416,0.9945
lr,MORTALITY,ModelResults/lr_MORTALITY_xyzmmq.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'noncompliant']",0.8958,0.0,0.0,0.0,0.5961,0.0,1.0
lr,AMA,ModelResults/lr_AMA_pzgoxv.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'autopsy']",0.9935,0.0,0.0,0.0,0.875,0.0,1.0
